Comuna,Total de viviendas particulares,Total de viviendas colectivas,Total de población
Comuna 1,136185,423,223282
Comuna 2,109754,145,158368
Comuna 3,111907,192,195462
Comuna 4,101524,65,230945
Comuna 5,107271,109,193859
Comuna 6,108006,65,203784
Comuna 7,101999,107,216832
Comuna 8,71280,15,204842
Comuna 9,76171,60,169538
Comuna 10,84382,55,171797
Comuna 11,103933,66,203491
Comuna 12,121272,80,236294
Comuna 13,146543,79,265199
Comuna 14,153721,411,249016
Comuna 15,104816,74,197903
